lat,lon,release_year,genre_ids
44.1132,9.9600,1938,|6817|13334|10141|
40.1448,-84.2424,1937,|9356|
51.5074,-0.1278,1933,|9356|13334|
48.2084,16.3725,1935,|5748|15450|9356|13334|3933|
35.0035,-91.2502,1939,|7722|
47.2455,-122.4383,1938,|13334|
39.4492,-91.0466,1937,|9356|16803|
35.7790,-87.4670,1937,|9356|16803|
50.5136,4.4208,1937,|7946|16803|9356|2703|
39.4492,-91.0466,1937,|9356|16803|
37.1232,-78.4928,1937,|9356|16803|
48.8127,2.2385,1937,|9356|7946|16803|
40.8079,-73.9455,1932,|9356|2474|16803|
40.8079,-73.9455,1930,|9356|2474|
40.8079,-73.9455,1930,|9356|
40.8079,-73.9455,1932,|9356|2474|
40.8079,-73.9455,1932,|9356|2474|
40.8079,-73.9455,1932,|9356|16803|
40.8079,-73.9455,1931,|9356|2474|
47.2455,-122.4383,1932,|9356|
40.8079,-73.9455,1932,|9356|2474|
40.8079,-73.9455,1932,|9356|2474|16803|
40.8079,-73.9455,1932,|9356|
40.8079,-73.9455,1932,|9356|16803|
40.8079,-73.9455,1932,|9356|2474|
40.8079,-73.9455,1932,|9356|
40.8079,-73.9455,1931,|9356|2474|16803|
39.4492,-91.0466,1938,|9356|7946|16803|
40.8079,-73.9455,1933,|9356|2474|
40.8079,-73.9455,1933,|9356|
40.8079,-73.9455,1933,|9356|
40.8079,-73.9455,1932,|9356|
40.6526,-73.9497,1933,|9356|13334|
40.8079,-73.9455,1932,|9356|
40.8079,-73.9455,1935,|9356|
40.8079,-73.9455,1934,|9356|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1934,|9356|
40.8079,-73.9455,1936,|9356|2474|16803|
40.8079,-73.9455,1935,|9356|2474|
40.8079,-73.9455,1933,|9356|2474|
40.8079,-73.9455,1933,|9356|2474|
40.8079,-73.9455,1934,|9356|2474|16803|
40.8079,-73.9455,1934,|9356|2474|
40.8079,-73.9455,1934,|9356|2474|
40.8079,-73.9455,1934,|9356|
40.8079,-73.9455,1933,|9356|
40.8079,-73.9455,1933,|9356|2474|
40.8079,-73.9455,1935,|9356|2474|16803|
40.8079,-73.9455,1933,|9356|2474|
40.1448,-84.2424,1934,|9356|13334|
40.8079,-73.9455,1934,|9356|2474|
40.8079,-73.9455,1935,|9356|
40.8079,-73.9455,1935,|9356|2474|
40.8079,-73.9455,1935,|9356|2474|16803|
40.8079,-73.9455,1934,|9356|2474|
40.8079,-73.9455,1934,|9356|2474|16803|
40.8079,-73.9455,1934,|9356|2474|
40.8079,-73.9455,1934,|9356|
40.8079,-73.9455,1934,|9356|2474|16803|
40.8079,-73.9455,1935,|9356|2474|
40.8079,-73.9455,1934,|9356|
40.8079,-73.9455,1934,|9356|16803|
40.8079,-73.9455,1934,|9356|2474|
40.8079,-73.9455,1934,|9356|2474|
40.8079,-73.9455,1934,|9356|2474|
40.8079,-73.9455,1933,|9356|16803|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|2474|16803|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|16803|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|16803|
40.8079,-73.9455,1936,|9356|2474|
39.4563,-77.9640,1938,|9356|16803|
48.8535,2.3484,1938,|9356|16803|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1937,|9356|
40.8079,-73.9455,1937,|9356|2474|
40.8079,-73.9455,1937,|13334|
40.8079,-73.9455,1936,|9356|
40.8079,-73.9455,1936,|9356|2474|
40.8079,-73.9455,1936,|9356|13334|
48.8535,2.3484,1938,|9356|16803|
40.8079,-73.9455,1939,|9356|2474|16803|
40.8079,-73.9455,1937,|9356|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1938,|9356|2474|16803|
40.8079,-73.9455,1938,|9356|
40.8079,-73.9455,1937,|9356|
40.8079,-73.9455,1938,|9356|2474|
40.8079,-73.9455,1938,|9356|2474|
40.8079,-73.9455,1937,|9356|2474|
40.8079,-73.9455,1938,|9356|
40.8079,-73.9455,1937,|9356|2474|
40.8079,-73.9455,1938,|9356|
40.8079,-73.9455,1938,|9356|
40.8079,-73.9455,1938,|9356|
40.8079,-73.9455,1938,|9356|2474|
40.8079,-73.9455,1937,|9356|
39.4492,-91.0466,1938,|9356|2703|16803|
38.2132,-84.2492,1938,|9356|2703|16803|
37.1232,-78.4928,1938,|9356|16803|
39.4492,-91.0466,1938,|9356|16803|
50.5136,4.4208,1938,|7946|16803|9356|2703|
38.4223,-83.7338,1938,|9356|16803|
40.8079,-73.9455,1938,|9356|2474|
40.8079,-73.9455,1938,|9356|2474|
40.8079,-73.9455,1938,|9356|2474|
40.8079,-73.9455,1938,|9356|
40.8079,-73.9455,1939,|9356|
40.8079,-73.9455,1938,|9356|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1938,|9356|
40.8079,-73.9455,1937,|9356|2474|
40.8079,-73.9455,1939,|9356|16803|
40.8079,-73.9455,1938,|9356|2474|
40.8079,-73.9455,1938,|9356|2474|16803|
40.8079,-73.9455,1938,|9356|2474|
40.8079,-73.9455,1938,|9356|2474|
40.8079,-73.9455,1938,|8991|9356|2474|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1939,|9356|
39.4563,-77.9640,1938,|9356|2703|16803|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1939,|9356|
40.8079,-73.9455,1939,|9356|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1939,|9356|2474|16803|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1939,|9356|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1939,|9356|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1939,|9356|
40.8079,-73.9455,1939,|9356|2474|
40.8079,-73.9455,1939,|9356|
47.2455,-122.4383,1931,|13334|
47.2455,-122.4383,1934,|13334|
47.2455,-122.4383,1935,|9356|13334|2474|
47.2455,-122.4383,1931,|9356|13334|
47.2455,-122.4383,1937,|13334|
47.2455,-122.4383,1935,|13334|
47.2455,-122.4383,1937,|9356|
47.2455,-122.4383,1937,|9356|13334|
47.2455,-122.4383,1937,|13334|
47.2455,-122.4383,1938,|13334|
40.8079,-73.9455,1939,|9356|
40.8079,-73.9455,1931,|9356|16803|
51.5561,-0.2796,1939,|13334|
40.8079,-73.9455,1937,|9356|
31.5492,-97.1475,1936,|18715|
31.5492,-97.1475,1936,|18715|
33.4678,-96.9152,1932,|8317|
33.4678,-96.9152,1933,|4287|4296|
33.4678,-96.9152,1935,|4287|18706|8317|
33.4678,-96.9152,1939,|4287|
33.4678,-96.9152,1939,|4287|
51.5074,-0.1278,1933,|13334|
51.5074,-0.1278,1933,|16803|9356|13334|14248|
51.5074,-0.1278,1933,|9356|13334|
51.5074,-0.1278,1933,|9356|
51.5074,-0.1278,1933,|9356|13334|
51.5074,-0.1278,1933,|9356|13334|
51.5074,-0.1278,1933,|13334|
51.5074,-0.1278,1933,|13334|
51.5074,-0.1278,1933,|9356|13334|
51.5074,-0.1278,1933,|9356|2474|16803|
51.5074,-0.1278,1932,|13334|
51.5074,-0.1278,1933,|9356|13334|
51.5074,-0.1278,1933,|13334|
51.5074,-0.1278,1932,|9356|13334|
51.5074,-0.1278,1932,|9356|
51.5074,-0.1278,1933,|9356|13334|
51.5074,-0.1278,1933,|9356|14248|
51.5074,-0.1278,1933,|9356|16803|
51.5074,-0.1278,1933,|9356|13334|2474|
51.5074,-0.1278,1933,|9356|13334|
51.5074,-0.1278,1933,|9356|13334|
51.5074,-0.1278,1933,|9356|13334|16803|
51.5074,-0.1278,1933,|9356|16803|
51.5074,-0.1278,1935,|9356|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1934,|9356|2474|
51.5074,-0.1278,1935,|11758|9356|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1934,|9356|2474|
51.5074,-0.1278,1934,|9356|13334|
51.5074,-0.1278,1934,|9356|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1934,|9356|2474|
51.5074,-0.1278,1935,|9356|2474|
51.5074,-0.1278,1934,|9356|13334|
51.5074,-0.1278,1935,|13334|2097|
51.5074,-0.1278,1935,|9356|16803|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1935,|9356|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1934,|9356|13334|2474|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1933,|13334|
51.5074,-0.1278,1933,|9356|16803|
