release_year,artist_name,release_name,release_genres,lat,lon
1949,Sarah Vaughan,Black Coffee / As You Desire Me,jazz; pop,40.7357,-74.1724
1947,Dinah Washington,Fool That I Am / Mean and Evil Blues,blues,33.2096,-87.5675
1947,Kurt Weill,Street Scene,opera; musical; classical,51.8466,12.2312
1947,Alan Jay Lerner,Brigadoon,musical,40.7127,-74.006
1947,The Nat King Cole Trio,"King Cole Trio, Volume 3",jazz; pop,34.0537,-118.2428
1946,The Nat King Cole Trio,"King Cole Trio, Vol. 2",jazz; pop,34.0537,-118.2428
1944,The Nat King Cole Trio,It’s Only a Paper Moon / Easy Listenin’ Blues,jazz,34.0537,-118.2428
1943,Ted Daffan,Born to Lose / No Letter Today,country,34.0537,-118.2428
1940,Bing Crosby,Yours Is My Heart Alone / Beautiful Dreamer,pop,47.2455,-122.4383
1949,Doris Day,Canadian Capers / It's Better to Conceal Than Reveal,jazz; pop; ragtime,39.1015,-84.5125
1948,Doris Day,"It’s Magic / Put ’em in a Box, Tie ’em With a Ribbon (and Throw ’em Into the Deep Blue Sea)",pop,39.1015,-84.5125
1948,Kay Starr,So Tired / Steady Daddy,jazz; blues,34.4005,-97.0516
1948,Buddy Clark,Love Somebody / Confess,pop,42.3588,-71.0578
1946,Judy Garland,You’ll Never Walk Alone / Smilin’ Through,pop,47.2372,-93.5302
1941,Billie Holiday,I'm in a Low-Down Groove / Gloomy Sunday,jazz,39.9527,-75.1635
1941,Duke Ellington and His Orchestra,"Take the ""A"" Train / The Sidewalks of New York",jazz; big band; swing,40.8079,-73.9455
1944,The Nat King Cole Trio,Straighten Up and Fly Right / I Can’t See for Lookin’,jazz; pop,34.0537,-118.2428
1948,Sven Arefeldt,"Bongo, Bongo, Bongo / Trollen swingar",pop,59.3251,18.0711
1948,Nat King Cole,Nature Boy / Lost April,jazz; pop; ballad,32.3777,-86.3091
1940,Lonnie Johnson,Get Yourself Together / Don't Be No Fool,blues,29.9561,-90.0734
1948,John Lee Hooker,Sally Mae / Boogie Chillen’,delta blues; blues,32.9715,-89.7348
1940,Lead Belly,Alberta / T.B. Blues,blues,32.6876,-93.961
1940,Lead Belly,Easy Rider / Worried Blues,blues,32.6876,-93.961
1941,The Andrews Sisters,Aurora / Music Makers,jazz; pop; big band,44.9773,-93.2655
1944,The Andrews Sisters,Straighten Up and Fly Right / Tico‐Tico,easy listening; jazz,44.9773,-93.2655
1942,The Andrews Sisters,Strip Polka / Mister Five by Five,pop; big band,44.9773,-93.2655
1945,The Andrews Sisters,Rum and Coca-Cola / One Meat Ball,pop,44.9773,-93.2655
1944,Bing Crosby,Is You Is or Is You Ain’t (Ma’ Baby) / (There’ll be a) Hot Time in the Town of Berlin (When the Yanks Go Marching In),pop,47.2455,-122.4383
1940,Bukka White,Strange Place Blues / Special Stream Line,blues,33.8984,-88.9992
1949,T‐Bone Walker,First Love Blues / T-Bone Shuffle,blues,33.0124,-94.3655
1948,Jimmy Witherspoon,Ain't Nobody's Business,chicago blues; blues,33.9182,-93.1488
1949,Jimmy Witherspoon,No Rollin' Blues / Big Fine Girl,blues,33.9182,-93.1488
1941,Big Bill Broonzy,Key to the Highway / Green Grass Blues,blues,35.2049,-92.4479
1941,Big Bill Broonzy,All by Myself / Double Trouble,country blues; blues,35.2049,-92.4479
1941,Big Maceo,Worried Life Blues / Texas Blues,blues,33.7545,-84.3898
1947,Frank Sinatra,Over the Rainbow / All the Things You Are,jazz; pop,40.7433,-74.0324
1947,Frank Sinatra,How Deep Is the Ocean? / That Old Black Magic,pop,40.7433,-74.0324
1949,Hank Williams,Hank Williams Sings,country,33.6846,-86.8755
1941,The Count Basie Orchestra,9:20 Special / Goin’ to Chicago Blues,jazz; big band,39.1001,-94.5781
