release_mbid,artist_name,release_name,release_year,release_genres
a1ab412d-3e28-3830-9b31-e70703738ac3,George Thorogood & the Destroyers,George Thorogood and the Destroyers,1977,rock & roll; modern electric blues; boogie rock; blues; album rock; rhythm & blues; blues rock
05b17dec-fceb-3895-8653-8c3e29eb2ee6,Joe Cocker,Joe Cocker’s Greatest Hits,1977,rock; soft rock; blue-eyed soul; blues rock
d32330a3-6b84-32b2-9264-3df1ce4c94e9,Vangelis,China,1979,electronic; berlin school; ambient
79e5b47b-6fd2-3c5b-8379-a4c1707e9e41,Steve Martin,Comedy Is Not Pretty!,1979,comedy
9438ae11-854e-3186-9ba8-828ce045d883,Rod Stewart,Greatest Hits,1979,rock & roll; soft rock; ballad; rock and roll; am pop; album rock; classic rock; adult contemporary; hard rock; pop/rock; rock; contemporary pop/rock; pop; electronic; pop rock
d1c0b3db-6b93-3b9d-9479-0d60486120cb,Randy Newman,Sail Away,1972,baroque pop; satire; rock; piano rock; pop; cabaret; singer/songwriter; pop rock
975ed908-9cdc-3fe0-94e5-ce4745abd971,Steve Martin,A Wild and Crazy Guy,1978,comedy; non-music
5da13507-7e60-3dec-b2e7-0e75dba03997,Chico Buarque,Construção,1971,bossanova; mpb; latin
08dcf82b-d418-3800-9427-b4aabc6a64d3,Jethro Tull,Heavy Horses,1978,hard rock; progressive rock; art rock; rock; progressive-rock; folk rock; classic rock; blues rock
1a272023-10d3-38ee-bab3-317b55fcc21d,Pink Floyd,Wish You Were Here,1975,prog rock; psychedelic rock; concept album; jazz; progressive; melancholic; progressive rock; art rock; longing; rock; experimental rock; ambient; hiphop; electronic; space rock
1c9b03a6-2a59-339f-97bb-8200b7a28432,Lightnin’ Hopkins,Talkin’ Some Sense,1972,texas blues; blues
76dc56cc-0f0f-31df-90cc-4522ca211a0d,The Cure,Three Imaginary Boys,1979,rock; classic pop and rock; alternative rock; post-punk; new wave; pop punk
acac4461-8226-3c0f-81de-4072c6bcf59e,The Guess Who,The Best of The Guess Who,1971,hard rock; psychedelic rock; rock/pop; rock; garage rock; pop rock; blues rock
e64d5bbe-7494-3634-ac11-a4ac06b37144,Keith Jarrett,Solo Concerts: Bremen/Lausanne,1973,jazz
f85647ec-a69b-3b0a-ad04-bb6076c4dcf1,AC/DC,Highway to Hell,1979,hard rock; aussie rock; rock; album rock; arena rock; blues rock
75b6c181-146e-3dec-b18e-9a7230b96ee7,Santana,Moonflower,1977,latin rock; blues
27d6cd91-dc56-39a2-bcec-6fe0a1c42daf,Kansas,Two for the Show,1978,hard rock; progressive rock; rock; symphonic prog; arena rock
3b4294d3-e2c3-3478-9545-ae2b03e81897,Joe Walsh,"The Smoker You Drink, the Player You Get",1973,hard rock; rock; blues rock
431ae137-315a-3faa-8005-c959fc0d57e9,Serge Gainsbourg,Histoire de Melody Nelson,1971,baroque pop; rock; symphonic rock; french pop; pop; art pop; pop rock
de1e7d23-d9a0-34bc-a469-c5930bb3e26c,Janis Joplin,In Concert,1972,hard rock; blues-rock; blues_classic rock_classic rock_blues; pop/rock; rock & roll; rock; classic rock_blues_blues_classic rock; oldies 70 s; blues; album rock; blues rock
